iter	Logloss
0	0.6662209696
1	0.6439249076
2	0.6239403667
3	0.6075166664
4	0.5950244558
5	0.5861412724
6	0.5754739746
7	0.5646119805
8	0.5596971821
9	0.5515212306
10	0.5440806245
11	0.5368897221
12	0.530857095
13	0.5250530461
14	0.5201254368
15	0.5162157089
16	0.5128108376
17	0.5091019508
18	0.506284969
19	0.5029803957
20	0.5001250075
21	0.4986691376
22	0.4962658553
23	0.4944274154
24	0.4931239892
25	0.4917683491
26	0.4910849355
27	0.490053333
28	0.4888529254
29	0.4881516949
30	0.4877159686
31	0.4866206858
32	0.485102933
33	0.4838074123
34	0.4826806931
35	0.481492351
36	0.4804970455
37	0.479507965
38	0.4783358599
39	0.4777144225
40	0.4775836429
41	0.4767372566
42	0.4762789402
43	0.4757050351
44	0.4746389822
45	0.4738972123
46	0.4734175171
47	0.4730462072
48	0.4723210621
49	0.4723040011
50	0.4714706502
51	0.4710454085
52	0.4707899947
53	0.4701379314
54	0.4697864032
55	0.4695663074
56	0.4692507057
57	0.4692506151
58	0.4689382573
59	0.4689380114
60	0.4686423577
61	0.4682984686
62	0.467799556
63	0.467010649
64	0.4665305409
65	0.466327241
66	0.4658292216
67	0.4658175017
68	0.4652664731
69	0.4650056344
70	0.4645790649
71	0.4644562911
72	0.4643546381
73	0.4640582194
74	0.4640575288
75	0.463398397
76	0.4633557317
77	0.463355708
78	0.4633249891
79	0.4633227829
80	0.4633188438
81	0.4627962951
82	0.4625685717
83	0.4624895549
84	0.4621868437
85	0.4616164041
86	0.461313153
87	0.4604101834
88	0.4603546534
89	0.4601094022
90	0.4598197486
91	0.4594474827
92	0.4591812918
93	0.4588125385
94	0.4581199545
95	0.4579199175
96	0.4576625639
97	0.4575224427
98	0.4572878065
99	0.4567852287
