iter	Passed	Remaining
0	37	3704
1	69	3393
2	116	3774
3	165	3971
4	223	4241
5	248	3892
6	298	3965
7	348	4010
8	366	3707
9	419	3771
10	458	3710
11	503	3692
12	546	3658
13	590	3627
14	636	3605
15	680	3571
16	724	3534
17	766	3493
18	810	3454
19	857	3430
20	897	3377
21	934	3311
22	977	3273
23	1021	3233
24	1083	3251
25	1132	3223
26	1148	3104
27	1179	3033
28	1230	3011
29	1254	2926
30	1274	2836
31	1317	2799
32	1367	2776
33	1417	2751
34	1469	2728
35	1517	2697
36	1564	2663
37	1611	2628
38	1657	2591
39	1702	2554
40	1719	2474
41	1763	2435
42	1806	2395
43	1844	2347
44	1890	2310
45	1934	2270
46	1972	2224
47	2017	2185
48	2069	2154
49	2086	2086
50	2133	2049
51	2171	2004
52	2216	1965
53	2260	1925
54	2311	1891
55	2340	1839
56	2383	1798
57	2398	1736
58	2436	1693
59	2454	1636
60	2487	1590
61	2537	1555
62	2584	1518
63	2633	1481
64	2682	1444
65	2729	1406
66	2790	1374
67	2863	1347
68	2941	1321
69	2993	1283
70	3046	1244
71	3081	1198
72	3164	1170
73	3234	1136
74	3255	1085
75	3315	1047
76	3349	1000
77	3373	951
78	3393	902
79	3413	853
80	3452	809
81	3511	770
82	3581	733
83	3649	695
84	3733	658
85	3827	623
86	3875	579
87	3931	536
88	3980	491
89	4029	447
90	4074	402
91	4120	358
92	4167	313
93	4217	269
94	4275	225
95	4325	180
96	4374	135
97	4427	90
98	4478	45
99	4539	0
